姓, 姓(カタカナ), 姓(ひらがな)
塩崎,シオザキ,しおざき
塩沢,シオザワ,しおざわ
塩田,シオダ,しおだ
塩見,シオミ,しおみ
塩谷,シオタニ,しおたに
増井,マスイ,ますい
増山,マスヤマ,ますやま
増田,マスダ,ますだ
外山,ソトヤマ,そとやま
多田,オオタ,おおた
大下,オオシタ,おおした
大久保,オオクボ,おおくぼ
大井,オオイ,おおい
大倉,オオクラ,おおくら
大内,オウウチ,おううち
大前,オオマエ,おおまえ
大原,オオハラ,おおはら
大友,オオトモ,おおとも
大和,ダイワ,だいわ
大和田,オオワダ,おおわだ
大坪,オオツボ,おおつぼ
大城,オオシロ,おおしろ
大場,オオバ,おおば
大塚,オオツカ,おおつか
大宮,オオミヤ,おおみや
大山,オオヤマ,おおやま
大島,オオシマ,おおしま
大崎,オオサキ,おおさき
大嶋,オオシマ,おおしま
大川,オオカワ,おおかわ
大平,オオヒラ,おおひら
大庭,オオニワ,おおにわ
大木,オオキ,おおき
大村,オオムラ,おおむら
大林,オオバヤシ,おおばやし
大森,オオモリ,おおもり
大槻,オオツキ,おおつき
大橋,オオハシ,おおはし
大江,オオエ,おおえ
大沢,オオサワ,おおさわ
大河原,オオガワラ,おおがわら
大沼,オオヌマ,おおぬま
大津,オオツ,おおつ
大浦,オオウラ,おおうら
大淵,オオブチ,おおぶち
大滝,オオタキ,おおたき
大澤,オオサワ,おおさわ
大熊,オオクマ,おおくま
大田,オオタ,おおた
大畑,オオハタ,おおはた
大矢,オオヤ,おおや
大石,オオイシ,おおいし
大竹,オオタケ,おおたけ
大西,オオニシ,おおにし
大谷,オオヤ,おおや
大貫,オオヌキ,おおぬき
大野,オオノ,おおの
大関,オオゼキ,おおぜき
大高,オオダカ,おおだか
天野,アマノ,あまの
太田,オオタ,おおた
奈良,ナラ,なら
奥,オク,おく
奥山,オクヤマ,おくやま
奥村,オクムラ,おくむら
奥田,オクダ,おくだ
奥野,オクノ,おくの
妹尾,セノオ,せのお
宇佐美,ウサミ,うさみ
宇田川,ウダガワ,うだがわ
宇都宮,ウツノミヤ,うつのみや
宇野,ウノ,うの
守屋,モリヤ,もりや
安井,ヤスイ,やすい
安原,ヤスハラ,やすはら
安川,ヤスカワ,やすかわ
安斉,アンザイ,あんざい
安斎,アンザイ,あんざい
安東,アンドウ,あんどう
安永,ヤスナガ,やすなが
安田,ヤスダ,やすだ
安藤,アンドウ,あんどう
安西,アンザイ,あんざい
安達,アダチ,あだち
安部,アベ,あべ
宍戸,シシド,ししど
室井,ムロイ,むろい
宮下,ミヤシタ,みやした
宮内,ミヤウチ,みやうち
宮原,ミヤハラ,みやはら
宮地,ミヤチ,みやち
宮坂,ミヤサカ,みやさか
宮城,ミヤギ,みやぎ
宮島,ミヤジマ,みやじま
宮崎,ミヤザキ,みやざき
宮川,ミヤカワ,みやかわ
宮本,ミヤモト,みやもと
宮沢,ミヤザワ,みやざわ
宮田,ミヤタ,みやた
宮脇,ミヤワキ,みやわき
宮野,ミヤノ,みやの
富山,トミヤマ,とみやま
富岡,トミオカ,とみおか
富樫,トガシ,とがし
富永,トミナガ,とみなが
富沢,トミザワ,とみざわ
富田,トミダ,とみだ
寺内,テラウチ,てらうち
寺尾,テラオ,てらお
寺岡,テラオカ,てらおか
寺島,テラシマ,てらしま
寺崎,テラサキ,てらさき
寺本,テラモト,てらもと
寺沢,テラサワ,てらさわ
寺田,テラダ,てらだ
寺西,テラニシ,てらにし
小久保,コクボ,こくぼ
小俣,オマタ,おまた
小倉,オグラ,おぐら
小出,オデ,おで
小原,オハラ,おはら
小口,オグチ,おぐち
小坂,オサカ,おさか
小堀,コボリ,こぼり
小室,コムロ,こむろ
小宮,コミヤ,こみや
小寺,オデラ,おでら
小山,オヤマ,おやま
小山田,オヤマダ,おやまだ
小峰,コミネ,こみね
小島,オジマ,おじま
小嶋,オジマ,おじま
小嶋,コジマ,こじま
小川,オガワ,おがわ
小幡,オバタ,おばた
小平,コダイラ,こだいら
小暮,コグレ,こぐれ
小杉,コスギ,こすぎ
小村,コムラ,こむら
小松,コマツ,こまつ
小林,コバヤシ,こばやし
