姓, 姓(カタカナ), 姓(ひらがな)
藤原,フジワラ,ふじわら
藤岡,フジオカ,ふじおか
藤島,フジシマ,ふじしま
藤崎,フジザキ,ふじざき
藤川,フジカワ,ふじかわ
藤巻,フジマキ,ふじまき
藤木,フジキ,ふじき
藤本,フジモト,ふじもと
藤村,フジムラ,ふじむら
藤森,フジモリ,ふじもり
藤沢,フジサワ,ふじさわ
藤田,フジタ,ふじた
藤谷,フジタニ,ふじたに
藤野,フジノ,ふじの
蛭田,ヒルタ,ひるた
西,ニシ,にし
西原,ニシハラ,にしはら
西口,ニシグチ,にしぐち
西尾,ニシオ,にしお
西山,ニシヤマ,にしやま
西岡,ニシオカ,にしおか
西島,ニシジマ,にしじま
西川,ニシカワ,にしかわ
西本,ニシモト,にしもと
西村,ニシムラ,にしむら
西沢,ニシザワ,にしざわ
西田,ニシダ,にしだ
西脇,ニシワキ,にしわき
西谷,ニシタニ,にしたに
西野,ニシノ,にしの
角,カク,かく
角田,カクタ,かくた
諏訪,スワ,すわ
諸星,モロボシ,もろぼし
谷,タニ,たに
谷内,タニウチ,たにうち
谷口,タニグチ,たにぐち
谷川,タニガワ,たにがわ
谷本,タニモト,たにもと
谷村,タニムラ,たにむら
豊島,トシマ,としま
豊田,トヨダ,とよだ
赤井,アカイ,あかい
赤坂,アカサカ,あかさか
赤塚,アカツカ,あかつか
赤木,アカギ,あかぎ
赤松,アカマツ,あかまつ
赤羽,アカバネ,あかばね
越智,オチ,おち
足立,アダチ,あだち
辻,ツジ,つじ
辻本,ツジモト,つじもと
近藤,コンドウ,こんどう
迫田,サコタ,さこた
進藤,シンドウ,しんどう
遠山,トオヤマ,とおやま
遠藤,エンドウ,えんどう
那須,ナス,なす
郡司,グンジ,ぐんじ
都築,ツズキ,つずき
酒井,サカイ,さかい
重松,シゲマツ,しげまつ
重田,オモダ,おもだ
重田,シゲタ,しげた
野上,ノガミ,のがみ
野中,ノナカ,のなか
野原,ノハラ,のはら
野口,ノグチ,のぐち
野呂,ノロ,のろ
野島,ノジマ,のじま
野崎,ノザキ,のざき
野本,ノモト,のもと
野村,ノムラ,のむら
野沢,ノザワ,のざわ
野田,ノダ,のだ
野間,ノマ,のま
金丸,カナマル,かなまる
金井,カネイ,かねい
金城,カナシロ,かなしろ
金子,カネコ,かねこ
金山,カナヤマ,かなやま
金森,カナモリ,かなもり
金沢,カナザワ,かなざわ
金田,カナダ,かなだ
金谷,カナヤ,かなや
金野,カネノ,かねの
鈴木,スズキ,すずき
鎌田,カマタ,かまた
長井,ナガイ,ながい
長友,ナガトモ,ながとも
長坂,ナガサカ,ながさか
長尾,ナガオ,ながお
長岡,ナガオカ,ながおか
長島,ナガシマ,ながしま
長崎,ナガサキ,ながさき
長嶋,ナガシマ,ながしま
長沢,ナガサワ,ながさわ
長沼,ナガヌマ,ながぬま
長浜,ナガハマ,ながはま
長瀬,ナガセ,ながせ
長田,ナガタ,ながた
長谷,ナガヤ,ながや
長谷川,ハセガワ,はせがわ
長谷部,ハセベ,はせべ
長野,ナガノ,ながの
門田,カドタ,かどた
門脇,カドワキ,かどわき
関,カン,かん
関口,セキグチ,せきぐち
関本,セキモト,せきもと
関根,セキネ,せきね
関谷,セキヤ,せきや
阪本,サカモト,さかもと
阿久津,アクツ,あくつ
阿部,アベ,あべ
陳,チン,ちん
難波,ナンバ,なんば
雨宮,アメミヤ,あめみや
露木,ツユキ,つゆき
青山,アオヤマ,あおやま
青木,アオキ,あおき
青柳,アオヤギ,あおやぎ
青野,アオノ,あおの
須田,スダ,すだ
須藤,スドウ,すどう
須賀,スガ,すが
風間,カザマ,かざま
飛田,トビタ,とびた
飯塚,イイヅカ,いいづか
飯島,イイジマ,いいじま
飯田,イイダ,いいだ
飯野,イイノ,いいの
首藤,シュドウ,しゅどう
香坂,コウサカ,こうさか
香川,カガワ,かがわ
馬場,ババ,ばば
高井,タカイ,たかい
高倉,タカクラ,たかくら
高原,タカハラ,たかはら
高坂,コウサカ,こうさか
高尾,タカオ,たかお
高山,タカヤマ,たかやま
高岡,タカオカ,たかおか
高島,タカシマ,たかしま
高崎,タカサキ,たかさき
高嶋,タカシマ,たかしま
高木,タカギ,たかぎ
高村,タカムラ,たかむら
高松,タカマツ,たかまつ
高柳,タカヤナギ,たかやなぎ
高梨,タカナシ,たかなし
高橋,タカハシ,たかはし
高沢,タカザワ,たかざわ
高津,タカツ,たかつ
高瀬,タカセ,たかせ
高田,コウダ,こうだ
高畑,タカハタ,たかはた
高見,タカミ,たかみ
高谷,コウヤ,こうや
高野,タカノ,たかの
鬼頭,キトウ,きとう
鮫島,サメジマ,さめじま
鳥居,トリイ,とりい
鳴海,ナルミ,なるみ
鵜飼,ウカイ,うかい
鶴岡,ツルオカ,つるおか
鶴田,ツルタ,つるた
鹿島,カシマ,かしま
鹿野,カノ,かの
麻生,アソウ,あそう
黒岩,クロイワ,くろいわ
黒崎,クロザキ,くろざき
黒川,クロカワ,くろかわ
黒木,クロキ,くろき
黒沢,クロサワ,くろさわ
黒澤,クロサワ,くろさわ
黒田,クロダ,くろだ
齋藤,サイトウ,さいとう
